curso,sexo,matricula,nivel,materia,trimestre,nota
1PRI A,M,431,Primaria,len,1T,98
1PRI A,M,310,Primaria,len,1T,92
1PRI A,M,651,Primaria,len,1T,74
1PRI A,F,552,Primaria,len,1T,65
1PRI A,F,606,Primaria,len,1T,89
1PRI A,M,393,Primaria,len,1T,94
1PRI A,M,261,Primaria,len,1T,89
1PRI A,F,322,Primaria,len,1T,97
1PRI A,F,575,Primaria,len,1T,54
1PRI A,F,565,Primaria,len,1T,90
1PRI A,F,168,Primaria,len,1T,59
1PRI A,F,394,Primaria,len,1T,94
1PRI A,F,578,Primaria,len,1T,93
1PRI A,M,187,Primaria,len,1T,94
1PRI A,F,149,Primaria,len,1T,69
1PRI A,M,308,Primaria,len,1T,52
1PRI A,M,509,Primaria,len,1T,94
1PRI A,F,415,Primaria,len,1T,93
1PRI A,F,397,Primaria,len,1T,81
1PRI A,F,154,Primaria,len,1T,95
1PRI A,F,19,Primaria,len,1T,99
1PRI A,M,399,Primaria,len,1T,75
1PRI A,M,727,Primaria,len,1T,63
1PRI A,M,306,Primaria,len,1T,83
1PRI A,M,174,Primaria,len,1T,80
1PRI A,M,484,Primaria,len,1T,91
1PRI A,F,175,Primaria,len,1T,99
1PRI A,F,744,Primaria,len,1T,89
1PRI A,M,177,Primaria,len,1T,84
1PRI A,M,431,Primaria,len,2T,100
1PRI A,M,310,Primaria,len,2T,99
1PRI A,M,651,Primaria,len,2T,69
1PRI A,F,552,Primaria,len,2T,86
1PRI A,F,606,Primaria,len,2T,89
1PRI A,M,393,Primaria,len,2T,98
1PRI A,M,261,Primaria,len,2T,93
1PRI A,F,322,Primaria,len,2T,99
1PRI A,F,575,Primaria,len,2T,79
1PRI A,F,565,Primaria,len,2T,95
1PRI A,F,168,Primaria,len,2T,62
1PRI A,F,394,Primaria,len,2T,96
1PRI A,F,578,Primaria,len,2T,100
1PRI A,M,187,Primaria,len,2T,99
1PRI A,F,149,Primaria,len,2T,88
1PRI A,M,308,Primaria,len,2T,51
1PRI A,M,509,Primaria,len,2T,98
1PRI A,F,415,Primaria,len,2T,98
1PRI A,F,397,Primaria,len,2T,74
1PRI A,F,154,Primaria,len,2T,96
1PRI A,F,19,Primaria,len,2T,100
1PRI A,M,399,Primaria,len,2T,86
1PRI A,M,727,Primaria,len,2T,52
1PRI A,M,306,Primaria,len,2T,76
1PRI A,M,174,Primaria,len,2T,90
1PRI A,M,484,Primaria,len,2T,95
1PRI A,F,175,Primaria,len,2T,99
1PRI A,F,744,Primaria,len,2T,80
1PRI A,M,177,Primaria,len,2T,70
1PRI A,M,431,Primaria,len,3T,98
1PRI A,M,310,Primaria,len,3T,99
1PRI A,M,651,Primaria,len,3T,70
1PRI A,F,552,Primaria,len,3T,78
1PRI A,F,606,Primaria,len,3T,87
1PRI A,M,393,Primaria,len,3T,93
1PRI A,M,261,Primaria,len,3T,91
1PRI A,F,322,Primaria,len,3T,97
1PRI A,F,575,Primaria,len,3T,79
1PRI A,F,565,Primaria,len,3T,95
1PRI A,F,168,Primaria,len,3T,59
1PRI A,F,394,Primaria,len,3T,94
1PRI A,F,578,Primaria,len,3T,96
1PRI A,M,187,Primaria,len,3T,95
1PRI A,F,149,Primaria,len,3T,83
1PRI A,M,308,Primaria,len,3T,62
1PRI A,M,509,Primaria,len,3T,94
1PRI A,F,415,Primaria,len,3T,96
1PRI A,F,397,Primaria,len,3T,77
1PRI A,F,154,Primaria,len,3T,90
1PRI A,F,19,Primaria,len,3T,99
1PRI A,M,399,Primaria,len,3T,90
1PRI A,M,727,Primaria,len,3T,64
1PRI A,M,306,Primaria,len,3T,79
1PRI A,M,174,Primaria,len,3T,85
1PRI A,M,484,Primaria,len,3T,96
1PRI A,F,175,Primaria,len,3T,100
1PRI A,F,744,Primaria,len,3T,81
1PRI A,M,177,Primaria,len,3T,80
1PRI A,M,431,Primaria,ing,1T,97
1PRI A,M,310,Primaria,ing,1T,100
1PRI A,M,651,Primaria,ing,1T,97
1PRI A,F,552,Primaria,ing,1T,77
1PRI A,F,606,Primaria,ing,1T,91
1PRI A,M,393,Primaria,ing,1T,88
1PRI A,M,261,Primaria,ing,1T,98
1PRI A,F,322,Primaria,ing,1T,96
1PRI A,F,575,Primaria,ing,1T,72
1PRI A,F,565,Primaria,ing,1T,94
1PRI A,F,168,Primaria,ing,1T,81
1PRI A,F,394,Primaria,ing,1T,93
1PRI A,F,578,Primaria,ing,1T,98
1PRI A,M,187,Primaria,ing,1T,91
1PRI A,F,149,Primaria,ing,1T,85
1PRI A,M,308,Primaria,ing,1T,86
1PRI A,M,509,Primaria,ing,1T,90
1PRI A,F,415,Primaria,ing,1T,97
1PRI A,F,397,Primaria,ing,1T,97
1PRI A,F,154,Primaria,ing,1T,96
1PRI A,F,19,Primaria,ing,1T,100
1PRI A,M,399,Primaria,ing,1T,80
1PRI A,M,727,Primaria,ing,1T,74
1PRI A,M,306,Primaria,ing,1T,89
1PRI A,M,174,Primaria,ing,1T,76
1PRI A,M,484,Primaria,ing,1T,95
1PRI A,F,175,Primaria,ing,1T,100
1PRI A,F,744,Primaria,ing,1T,91
1PRI A,M,177,Primaria,ing,1T,70
1PRI A,M,431,Primaria,ing,2T,98
1PRI A,M,310,Primaria,ing,2T,97
1PRI A,M,651,Primaria,ing,2T,84
1PRI A,F,552,Primaria,ing,2T,88
1PRI A,F,606,Primaria,ing,2T,73
1PRI A,M,393,Primaria,ing,2T,94
1PRI A,M,261,Primaria,ing,2T,76
1PRI A,F,322,Primaria,ing,2T,92
1PRI A,F,575,Primaria,ing,2T,79
1PRI A,F,565,Primaria,ing,2T,89
1PRI A,F,168,Primaria,ing,2T,69
1PRI A,F,394,Primaria,ing,2T,97
1PRI A,F,578,Primaria,ing,2T,97
1PRI A,M,187,Primaria,ing,2T,93
1PRI A,F,149,Primaria,ing,2T,75
1PRI A,M,308,Primaria,ing,2T,97
1PRI A,M,509,Primaria,ing,2T,84
1PRI A,F,415,Primaria,ing,2T,99
1PRI A,F,397,Primaria,ing,2T,81
1PRI A,F,154,Primaria,ing,2T,90
1PRI A,F,19,Primaria,ing,2T,99
1PRI A,M,399,Primaria,ing,2T,92
1PRI A,M,727,Primaria,ing,2T,85
1PRI A,M,306,Primaria,ing,2T,81
1PRI A,M,174,Primaria,ing,2T,71
1PRI A,M,484,Primaria,ing,2T,99
1PRI A,F,175,Primaria,ing,2T,100
1PRI A,F,744,Primaria,ing,2T,88
1PRI A,M,177,Primaria,ing,2T,70
1PRI A,M,431,Primaria,ing,3T,98
1PRI A,M,310,Primaria,ing,3T,98
1PRI A,M,651,Primaria,ing,3T,81
1PRI A,F,552,Primaria,ing,3T,88
1PRI A,F,606,Primaria,ing,3T,96
1PRI A,M,393,Primaria,ing,3T,91
1PRI A,M,261,Primaria,ing,3T,95
1PRI A,F,322,Primaria,ing,3T,98
1PRI A,F,575,Primaria,ing,3T,80
1PRI A,F,565,Primaria,ing,3T,85
1PRI A,F,168,Primaria,ing,3T,67
1PRI A,F,394,Primaria,ing,3T,95
1PRI A,F,578,Primaria,ing,3T,94
1PRI A,M,187,Primaria,ing,3T,94
1PRI A,F,149,Primaria,ing,3T,84
1PRI A,M,308,Primaria,ing,3T,84
1PRI A,M,509,Primaria,ing,3T,88
1PRI A,F,415,Primaria,ing,3T,95
1PRI A,F,397,Primaria,ing,3T,85
1PRI A,F,154,Primaria,ing,3T,86
1PRI A,F,19,Primaria,ing,3T,98
1PRI A,M,399,Primaria,ing,3T,92
1PRI A,M,727,Primaria,ing,3T,85
1PRI A,M,306,Primaria,ing,3T,85
1PRI A,M,174,Primaria,ing,3T,62
1PRI A,M,484,Primaria,ing,3T,91
1PRI A,F,175,Primaria,ing,3T,100
1PRI A,F,744,Primaria,ing,3T,97
1PRI A,M,177,Primaria,ing,3T,79
1PRI A,M,431,Primaria,len13,1T,98
1PRI A,M,310,Primaria,len13,1T,96
1PRI A,M,651,Primaria,len13,1T,86
1PRI A,F,552,Primaria,len13,1T,71
1PRI A,F,606,Primaria,len13,1T,90
1PRI A,M,393,Primaria,len13,1T,91
1PRI A,M,261,Primaria,len13,1T,94
1PRI A,F,322,Primaria,len13,1T,97
1PRI A,F,575,Primaria,len13,1T,63
1PRI A,F,565,Primaria,len13,1T,92
1PRI A,F,168,Primaria,len13,1T,70
1PRI A,F,394,Primaria,len13,1T,94
1PRI A,F,578,Primaria,len13,1T,96
1PRI A,M,187,Primaria,len13,1T,93
1PRI A,F,149,Primaria,len13,1T,77
1PRI A,M,308,Primaria,len13,1T,69
1PRI A,M,509,Primaria,len13,1T,92
1PRI A,F,415,Primaria,len13,1T,95
1PRI A,F,397,Primaria,len13,1T,89
1PRI A,F,154,Primaria,len13,1T,96
1PRI A,F,19,Primaria,len13,1T,100
1PRI A,M,399,Primaria,len13,1T,78
1PRI A,M,727,Primaria,len13,1T,69
1PRI A,M,306,Primaria,len13,1T,86
1PRI A,M,174,Primaria,len13,1T,78
1PRI A,M,484,Primaria,len13,1T,93
1PRI A,F,175,Primaria,len13,1T,100
1PRI A,F,744,Primaria,len13,1T,90
1PRI A,M,177,Primaria,len13,1T,77
1PRI A,M,431,Primaria,len13,2T,99
1PRI A,M,310,Primaria,len13,2T,98
1PRI A,M,651,Primaria,len13,2T,77
1PRI A,F,552,Primaria,len13,2T,87
1PRI A,F,606,Primaria,len13,2T,81
1PRI A,M,393,Primaria,len13,2T,96
1PRI A,M,261,Primaria,len13,2T,85
1PRI A,F,322,Primaria,len13,2T,96
1PRI A,F,575,Primaria,len13,2T,79
1PRI A,F,565,Primaria,len13,2T,92
1PRI A,F,168,Primaria,len13,2T,66
1PRI A,F,394,Primaria,len13,2T,97
1PRI A,F,578,Primaria,len13,2T,99
1PRI A,M,187,Primaria,len13,2T,96
1PRI A,F,149,Primaria,len13,2T,82
1PRI A,M,308,Primaria,len13,2T,74
1PRI A,M,509,Primaria,len13,2T,91
1PRI A,F,415,Primaria,len13,2T,99
1PRI A,F,397,Primaria,len13,2T,78
1PRI A,F,154,Primaria,len13,2T,93
1PRI A,F,19,Primaria,len13,2T,100
1PRI A,M,399,Primaria,len13,2T,89
1PRI A,M,727,Primaria,len13,2T,69
1PRI A,M,306,Primaria,len13,2T,79
1PRI A,M,174,Primaria,len13,2T,81
1PRI A,M,484,Primaria,len13,2T,97
1PRI A,F,175,Primaria,len13,2T,100
1PRI A,F,744,Primaria,len13,2T,84
1PRI A,M,177,Primaria,len13,2T,70
1PRI A,M,431,Primaria,len13,3T,98
1PRI A,M,310,Primaria,len13,3T,99
1PRI A,M,651,Primaria,len13,3T,76
1PRI A,F,552,Primaria,len13,3T,83
1PRI A,F,606,Primaria,len13,3T,92
1PRI A,M,393,Primaria,len13,3T,92
1PRI A,M,261,Primaria,len13,3T,93
1PRI A,F,322,Primaria,len13,3T,98
1PRI A,F,575,Primaria,len13,3T,80
1PRI A,F,565,Primaria,len13,3T,90
1PRI A,F,168,Primaria,len13,3T,63
1PRI A,F,394,Primaria,len13,3T,95
1PRI A,F,578,Primaria,len13,3T,95
1PRI A,M,187,Primaria,len13,3T,95
1PRI A,F,149,Primaria,len13,3T,84
1PRI A,M,308,Primaria,len13,3T,73
1PRI A,M,509,Primaria,len13,3T,91
1PRI A,F,415,Primaria,len13,3T,96
1PRI A,F,397,Primaria,len13,3T,81
1PRI A,F,154,Primaria,len13,3T,88
1PRI A,F,19,Primaria,len13,3T,99
1PRI A,M,399,Primaria,len13,3T,91
1PRI A,M,727,Primaria,len13,3T,75
1PRI A,M,306,Primaria,len13,3T,82
1PRI A,M,174,Primaria,len13,3T,74
1PRI A,M,484,Primaria,len13,3T,94
1PRI A,F,175,Primaria,len13,3T,100
1PRI A,F,744,Primaria,len13,3T,89
1PRI A,M,177,Primaria,len13,3T,80
1PRI A,M,431,Primaria,soc,1T,98
1PRI A,M,310,Primaria,soc,1T,93
