curso,sexo,matricula,nivel,materia,trimestre,nota
1PRI A,F,260,Primaria,len,1T,95
1PRI A,F,337,Primaria,len,1T,90
1PRI A,F,177,Primaria,len,1T,86
1PRI A,F,500,Primaria,len,1T,92
1PRI A,F,82,Primaria,len,1T,55
1PRI A,F,510,Primaria,len,1T,82
1PRI A,F,322,Primaria,len,1T,87
1PRI A,F,366,Primaria,len,1T,86
1PRI A,F,215,Primaria,len,1T,71
1PRI A,M,84,Primaria,len,1T,96
1PRI A,M,466,Primaria,len,1T,59
1PRI A,M,672,Primaria,len,1T,99
1PRI A,F,389,Primaria,len,1T,93
1PRI A,F,83,Primaria,len,1T,87
1PRI A,F,637,Primaria,len,1T,75
1PRI A,M,546,Primaria,len,1T,92
1PRI A,M,526,Primaria,len,1T,89
1PRI A,F,572,Primaria,len,1T,86
1PRI A,F,334,Primaria,len,1T,96
1PRI A,M,554,Primaria,len,1T,71
1PRI A,F,186,Primaria,len,1T,99
1PRI A,F,260,Primaria,len,2T,100
1PRI A,F,337,Primaria,len,2T,92
1PRI A,F,177,Primaria,len,2T,97
1PRI A,F,500,Primaria,len,2T,98
1PRI A,F,82,Primaria,len,2T,95
1PRI A,F,510,Primaria,len,2T,92
1PRI A,F,322,Primaria,len,2T,91
1PRI A,F,366,Primaria,len,2T,93
1PRI A,F,215,Primaria,len,2T,71
1PRI A,M,84,Primaria,len,2T,92
1PRI A,M,466,Primaria,len,2T,73
1PRI A,M,672,Primaria,len,2T,88
1PRI A,F,389,Primaria,len,2T,93
1PRI A,F,83,Primaria,len,2T,98
1PRI A,F,637,Primaria,len,2T,77
1PRI A,M,546,Primaria,len,2T,97
1PRI A,M,526,Primaria,len,2T,100
1PRI A,F,572,Primaria,len,2T,78
1PRI A,F,334,Primaria,len,2T,99
1PRI A,M,554,Primaria,len,2T,84
1PRI A,F,186,Primaria,len,2T,100
1PRI A,F,260,Primaria,ing,1T,96
1PRI A,F,337,Primaria,ing,1T,89
1PRI A,F,177,Primaria,ing,1T,89
1PRI A,F,500,Primaria,ing,1T,88
1PRI A,F,82,Primaria,ing,1T,81
1PRI A,F,510,Primaria,ing,1T,93
1PRI A,F,322,Primaria,ing,1T,88
1PRI A,F,366,Primaria,ing,1T,87
1PRI A,F,215,Primaria,ing,1T,81
1PRI A,M,84,Primaria,ing,1T,92
1PRI A,M,466,Primaria,ing,1T,75
1PRI A,M,672,Primaria,ing,1T,94
1PRI A,F,389,Primaria,ing,1T,87
1PRI A,F,83,Primaria,ing,1T,89
1PRI A,F,637,Primaria,ing,1T,88
1PRI A,M,546,Primaria,ing,1T,91
1PRI A,M,526,Primaria,ing,1T,87
1PRI A,F,572,Primaria,ing,1T,81
1PRI A,F,334,Primaria,ing,1T,91
1PRI A,M,554,Primaria,ing,1T,88
1PRI A,F,186,Primaria,ing,1T,98
1PRI A,F,260,Primaria,ing,2T,99
1PRI A,F,337,Primaria,ing,2T,94
1PRI A,F,177,Primaria,ing,2T,90
1PRI A,F,500,Primaria,ing,2T,97
1PRI A,F,82,Primaria,ing,2T,78
1PRI A,F,510,Primaria,ing,2T,94
1PRI A,F,322,Primaria,ing,2T,92
1PRI A,F,366,Primaria,ing,2T,95
1PRI A,F,215,Primaria,ing,2T,85
1PRI A,M,84,Primaria,ing,2T,96
1PRI A,M,466,Primaria,ing,2T,83
1PRI A,M,672,Primaria,ing,2T,94
1PRI A,F,389,Primaria,ing,2T,88
1PRI A,F,83,Primaria,ing,2T,91
1PRI A,F,637,Primaria,ing,2T,83
1PRI A,M,546,Primaria,ing,2T,96
1PRI A,M,526,Primaria,ing,2T,90
1PRI A,F,572,Primaria,ing,2T,94
1PRI A,F,334,Primaria,ing,2T,97
1PRI A,M,554,Primaria,ing,2T,94
1PRI A,F,186,Primaria,ing,2T,97
1PRI A,F,260,Primaria,len13,1T,96
1PRI A,F,337,Primaria,len13,1T,90
1PRI A,F,177,Primaria,len13,1T,88
1PRI A,F,500,Primaria,len13,1T,90
1PRI A,F,82,Primaria,len13,1T,68
1PRI A,F,510,Primaria,len13,1T,88
1PRI A,F,322,Primaria,len13,1T,88
1PRI A,F,366,Primaria,len13,1T,87
1PRI A,F,215,Primaria,len13,1T,76
